tier,tier-name,category,move-name,move-id
0,사용 절대금지,폭발기술,자폭,120
0,사용 절대금지,폭발기술,대폭발,153
0,사용 절대금지,폭발기술,철제광선,796
0,사용 절대금지,폭발기술,미스트버스트,802
0,사용 절대금지,폭발기술,클로로블라스트,835
0,사용 절대금지,희생변화기,멸망의노래,195
0,사용 절대금지,희생변화기,추억의선물,262
1,고스트 테라 앙코르불가,교체불가기술,검은눈빛,212
1,고스트 테라 앙코르불가,교체불가기술,블록,335
1,고스트 테라 앙코르불가,교체불가기술,페어리록,587
1,고스트 테라 앙코르불가,교체불가기술,사우전드웨이브,615
1,고스트 테라 앙코르불가,교체불가기술,그림자꿰매기,662
1,고스트 테라 앙코르불가,교체불가기술,물고버티기,746
1,고스트 테라 앙코르불가,교체불가기술,문어굳히기,753
1,고스트 테라 앙코르불가,목숨걸기,목숨걸기,515
2,변화기 고정금지,명중률 변화기,모래뿌리기,28
2,변화기 고정금지,명중률 변화기,그림자분신,104
2,변화기 고정금지,명중률 변화기,작아지기,107
2,변화기 고정금지,명중률 변화기,연막,108
2,변화기 고정금지,명중률 변화기,숟가락휘기,134
2,변화기 고정금지,명중률 변화기,플래시,148
2,변화기 고정금지,명중률 변화기,경혈찌르기,367
2,변화기 고정금지,방해 변화기,사슬묶기,50
2,변화기 고정금지,방해 변화기,잠자기,156
2,변화기 고정금지,방해 변화기,모래바람,201
2,변화기 고정금지,방해 변화기,헤롱헤롱,213
2,변화기 고정금지,방해 변화기,앵콜,227
2,변화기 고정금지,방해 변화기,비바라기,240
2,변화기 고정금지,방해 변화기,설경,258
2,변화기 고정금지,방해 변화기,트집,259
2,변화기 고정금지,방해 변화기,도발,269
2,변화기 고정금지,방해 변화기,봉인,286
2,변화기 고정금지,방해 변화기,금제,373
2,변화기 고정금지,방해 변화기,회복봉인,377
2,변화기 고정금지,방해 변화기,매직룸,478
2,변화기 고정금지,방해 변화기,미스트필드,581
2,변화기 고정금지,방해 변화기,일렉트릭필드,604
2,변화기 고정금지,방해 변화기,사이코필드,678
2,변화기 고정금지,방해 변화기,썰렁개그,881
2,변화기 고정금지,특성 변화기,스킬스웹,285
2,변화기 고정금지,특성 변화기,고민씨,388
2,변화기 고정금지,특성 변화기,심플빔,493
2,변화기 고정금지,특성 변화기,동료만들기,494
2,변화기 고정금지,특성 변화기,베껴그리기,867
2,변화기 고정금지,혼란기,초음파,48
2,변화기 고정금지,혼란기,이상한빛,109
2,변화기 고정금지,혼란기,천사의키스,186
2,변화기 고정금지,혼란기,뽐내기,207
2,변화기 고정금지,혼란기,부추기기,260
2,변화기 고정금지,혼란기,흔들흔들댄스,298
2,공격기 고정금지,다른 공간 이동,프리폴,507
2,공격기 고정금지,다른 공간 이동,공중날기,19
2,공격기 고정금지,다른 공간 이동,구멍파기,91
2,공격기 고정금지,다른 공간 이동,다이빙,291
2,공격기 고정금지,다른 공간 이동,뛰어오르다,340
2,공격기 고정금지,다른 공간 이동,섀도다이브,467
2,공격기 고정금지,다른 공간 이동,고스트다이브,566
2,공격기 고정금지,도구 버리는 기술,트릭,271
2,공격기 고정금지,도구 버리는 기술,내던지기,374
2,공격기 고정금지,도구 버리는 기술,바꿔치기,415
2,공격기 고정금지,명중률 공격기,진흙뿌리기,189
2,공격기 고정금지,명중률 공격기,대포무노포,190
2,공격기 고정금지,명중률 공격기,탁류,330
2,공격기 고정금지,명중률 공격기,그래스믹서,536
2,공격기 고정금지,명중률 공격기,나이트버스트,539
2,공격기 고정금지,공격기 혼란,환상빔,60
2,공격기 고정금지,공격기 혼란,염동력,93
2,공격기 고정금지,공격기 혼란,잼잼펀치,146
2,공격기 고정금지,공격기 혼란,폭발펀치,223
2,공격기 고정금지,공격기 혼란,물의파동,352
2,공격기 고정금지,공격기 혼란,록클라임,431
2,공격기 고정금지,공격기 혼란,수다,448
2,공격기 고정금지,공격기 혼란,발꿈치찍기,853
2,공격기 고정금지,상태이상 유발 공격기,폭풍,542
3,변화기 스피드,스피드 변화기,실뿜기,81
3,변화기 스피드,스피드 변화기,고속이동,97
3,변화기 스피드,스피드 변화기,목화포자,178
3,변화기 스피드,스피드 변화기,겁나는얼굴,184
3,변화기 스피드,스피드 변화기,용의춤,349
3,변화기 스피드,스피드 변화기,순풍,366
3,변화기 스피드,스피드 변화기,록커트,397
3,변화기 스피드,스피드 변화기,바디퍼지,475
3,변화기 스피드,스피드 변화기,나비춤,483
3,변화기 스피드,스피드 변화기,껍질깨기,504
3,변화기 스피드,스피드 변화기,기어체인지,508
3,변화기 스피드,스피드 변화기,끈적끈적네트,564
3,변화기 스피드,스피드 변화기,베놈트랩,599
3,변화기 스피드,스피드 변화기,지오컨트롤,601
3,변화기 스피드,스피드 변화기,독실,672
3,변화기 스피드,스피드 변화기,배수의진,748
3,변화기 스피드,스피드 변화기,타르샷,749
3,변화기 스피드,스피드 변화기,소울비트,775
3,변화기 스피드,스피드 변화기,스레드트랩,852
3,변화기 스피드,스피드 변화기,제살깎기,868
3,변화기 스피드,스피드 변화기,정리정돈,882
3,공격기 스피드,스피드 깎는기술,거품광선,61
3,공격기 스피드,스피드 깎는기술,얼다바람,196
3,공격기 스피드,스피드 깎는기술,암석봉인,317
3,공격기 스피드,스피드 깎는기술,머드숏,341
3,공격기 스피드,스피드 깎는기술,로킥,490
3,공격기 스피드,스피드 깎는기술,땅고르기,523
3,공격기 스피드,스피드 깎는기술,일렉트릭네트,527
3,공격기 스피드,스피드 깎는기술,얼다세계,549
3,공격기 스피드,스피드 깎는기술,드럼어택,778
3,공격기 스피드,스피드 깎는기술,찬바람폭풍,846
3,공격기 스피드,스피드 깎는기술,달려들기,884
3,공격기 스피드,스피드 깎는기술,시럽봄,903
4,변화기 상태이상,상태이상 유발 변화기,노래하기,47
4,변화기 상태이상,상태이상 유발 변화기,독가루,77
4,변화기 상태이상,상태이상 유발 변화기,저리가루,78
4,변화기 상태이상,상태이상 유발 변화기,수면가루,79
4,변화기 상태이상,상태이상 유발 변화기,전기자석파,86
4,변화기 상태이상,상태이상 유발 변화기,맹독,92
4,변화기 상태이상,상태이상 유발 변화기,최면술,95
4,변화기 상태이상,상태이상 유발 변화기,뱀눈초리,137
4,변화기 상태이상,상태이상 유발 변화기,독가스,139
4,변화기 상태이상,상태이상 유발 변화기,악마의키스,142
4,변화기 상태이상,상태이상 유발 변화기,버섯포자,147
4,변화기 상태이상,상태이상 유발 변화기,도깨비불,261
4,변화기 상태이상,상태이상 유발 변화기,하품,281
4,변화기 상태이상,상태이상 유발 변화기,풀피리,320
4,변화기 상태이상,상태이상 유발 변화기,독압정,390
4,변화기 상태이상,상태이상 유발 변화기,다크홀,464
4,변화기 상태이상,상태이상 유발 변화기,독실,672
4,공격기 상태이상,상태이상 유발 공격기,불꽃펀치,7
4,공격기 상태이상,상태이상 유발 공격기,냉동펀치,8
4,공격기 상태이상,상태이상 유발 공격기,번개펀치,9
4,공격기 상태이상,상태이상 유발 공격기,누르기,34
4,공격기 상태이상,상태이상 유발 공격기,독침,40
4,공격기 상태이상,상태이상 유발 공격기,불꽃세례,52
4,공격기 상태이상,상태이상 유발 공격기,화염방사,53
4,공격기 상태이상,상태이상 유발 공격기,냉동빔,58
4,공격기 상태이상,상태이상 유발 공격기,눈보라,59
4,공격기 상태이상,상태이상 유발 공격기,전기쇼크,84
4,공격기 상태이상,상태이상 유발 공격기,10만볼트,85
4,공격기 상태이상,상태이상 유발 공격기,번개,87
4,공격기 상태이상,상태이상 유발 공격기,핥기,122
4,공격기 상태이상,상태이상 유발 공격기,스모그,123
4,공격기 상태이상,상태이상 유발 공격기,오물공격,124
4,공격기 상태이상,상태이상 유발 공격기,불대문자,126
4,공격기 상태이상,상태이상 유발 공격기,트라이어택,161
4,공격기 상태이상,상태이상 유발 공격기,트라이어택,161
4,공격기 상태이상,상태이상 유발 공격기,화염바퀴,172
4,공격기 상태이상,상태이상 유발 공격기,눈싸라기,181
4,공격기 상태이상,상태이상 유발 공격기,오물폭탄,188
4,공격기 상태이상,상태이상 유발 공격기,전자포,192
4,공격기 상태이상,상태이상 유발 공격기,스파크,209
4,공격기 상태이상,상태이상 유발 공격기,성스러운불꽃,221
4,공격기 상태이상,상태이상 유발 공격기,용의숨결,225
4,공격기 상태이상,상태이상 유발 공격기,열풍,257
4,공격기 상태이상,상태이상 유발 공격기,블레이즈킥,299
4,공격기 상태이상,상태이상 유발 공격기,맹독엄니,305
4,공격기 상태이상,상태이상 유발 공격기,시그널빔,324
4,공격기 상태이상,상태이상 유발 공격기,뛰어오르다,340
4,공격기 상태이상,상태이상 유발 공격기,포이즌테일,342
4,공격기 상태이상,상태이상 유발 공격기,볼트태클,344
4,공격기 상태이상,상태이상 유발 공격기,플레어드라이브,394
4,공격기 상태이상,상태이상 유발 공격기,발경,395
4,공격기 상태이상,상태이상 유발 공격기,독찌르기,398
4,공격기 상태이상,상태이상 유발 공격기,번개엄니,422
4,공격기 상태이상,상태이상 유발 공격기,얼음엄니,423
4,공격기 상태이상,상태이상 유발 공격기,불꽃엄니,424
4,공격기 상태이상,상태이상 유발 공격기,방전,435
4,공격기 상태이상,상태이상 유발 공격기,분연,436
4,공격기 상태이상,상태이상 유발 공격기,크로스포이즌,440
4,공격기 상태이상,상태이상 유발 공격기,더스트슈트,441
4,공격기 상태이상,상태이상 유발 공격기,오물웨이브,482
4,공격기 상태이상,상태이상 유발 공격기,열탕,503
4,공격기 상태이상,상태이상 유발 공격기,연옥,517
4,공격기 상태이상,상태이상 유발 공격기,화염탄,545
4,공격기 상태이상,상태이상 유발 공격기,옛노래,547
4,공격기 상태이상,상태이상 유발 공격기,뇌격,550
4,공격기 상태이상,상태이상 유발 공격기,푸른불꽃,551
4,공격기 상태이상,상태이상 유발 공격기,프리즈볼트,553
4,공격기 상태이상,상태이상 유발 공격기,콜드플레어,554
4,공격기 상태이상,상태이상 유발 공격기,프리즈드라이,573
4,공격기 상태이상,상태이상 유발 공격기,스팀버스트,592
4,공격기 상태이상,상태이상 유발 공격기,볼부비부비,609
4,공격기 상태이상,상태이상 유발 공격기,부리캐논,690
4,공격기 상태이상,상태이상 유발 공격기,화염볼,780
4,공격기 상태이상,상태이상 유발 공격기,셸암즈,801
4,공격기 상태이상,상태이상 유발 공격기,질투의불꽃,807
4,공격기 상태이상,상태이상 유발 공격기,열사의대지,815
4,공격기 상태이상,상태이상 유발 공격기,얼어붙는시선,821
4,공격기 상태이상,상태이상 유발 공격기,페이탈클로,827
4,공격기 상태이상,상태이상 유발 공격기,페이탈클로,827
4,공격기 상태이상,상태이상 유발 공격기,독침천발,839
4,공격기 상태이상,상태이상 유발 공격기,번개폭풍,847
4,공격기 상태이상,상태이상 유발 공격기,열사의폭풍,848
4,공격기 상태이상,상태이상 유발 공격기,킬러스핀,866
4,공격기 상태이상,상태이상 유발 공격기,휘적휘적포,902
6,데미지 4배,방어 하락,아이언테일,231
6,데미지 4배,방어 하락,깨물어부수기,242
6,데미지 4배,방어 하락,바위깨기,249
6,데미지 4배,방어 하락,브레이크크루,306
6,데미지 4배,방어 하락,셸블레이드,534
6,데미지 4배,방어 하락,불꽃채찍,680
6,데미지 4배,방어 하락,섀도본,708
6,데미지 4배,방어 하락,아쿠아브레이크,710
6,데미지 4배,방어 하락,G의힘,788
6,데미지 4배,방어 하락,천둥차기,823
6,데미지 4배,방어 하락,3연화살,843
6,데미지 4배,특방 하락,용해액,51
6,데미지 4배,특방 하락,사이코키네시스,94
6,데미지 4배,특방 하락,섀도볼,247
6,데미지 4배,특방 하락,라스트버지,295
6,데미지 4배,특방 하락,벌레의야단법석,405
6,데미지 4배,특방 하락,기합구슬,411
6,데미지 4배,특방 하락,에너지볼,412
6,데미지 4배,특방 하락,대지의힘,414
6,데미지 4배,특방 하락,러스터캐논,430
6,데미지 4배,특방 하락,시드플레어,465
6,데미지 4배,특방 하락,애시드봄,491
6,데미지 4배,특방 하락,사과산,787
6,데미지 4배,특방 하락,루미나콜리전,855
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,방어,182
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,판별,197
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,버티기,203
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,날따름,266
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,도우미,270
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,와이드가드,469
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,분노가루,476
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,퍼스트가드,501
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,트릭가드,578
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,킹실드,588
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,니들가드,596
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,초롱초롱눈동자,608
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,토치카,661
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,블로킹,792
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,블로킹,792
8,고정 지양(앙코르 내던지기 꼬임),우선도 변화기,스레드트랩,852
9,고정 지양(앙코르 꼬임),우선도2 선공기,신속,245
9,고정 지양(앙코르 꼬임),우선도2 선공기,페인트,364
10,고정 지양(앙코르 꼬임),선공기,전광석화,98
10,고정 지양(앙코르 꼬임),선공기,마하펀치,183
10,고정 지양(앙코르 꼬임),선공기,기습,389
10,고정 지양(앙코르 꼬임),선공기,진공파,410
10,고정 지양(앙코르 꼬임),선공기,불릿펀치,418
10,고정 지양(앙코르 꼬임),선공기,얼음뭉치,420
10,고정 지양(앙코르 꼬임),선공기,야습,425
10,고정 지양(앙코르 꼬임),선공기,아쿠아제트,453
10,고정 지양(앙코르 꼬임),선공기,물수리검,594
10,고정 지양(앙코르 꼬임),선공기,액셀록,709
10,고정 지양(앙코르 꼬임),선공기,그래스슬라이더,803
10,고정 지양(앙코르 꼬임),선공기,제트펀치,857
11,특성 처리 필요,반동기,점프킥,26
11,특성 처리 필요,반동기,돌진,36
11,특성 처리 필요,반동기,이판사판태클,38
11,특성 처리 필요,반동기,지옥의바퀴,66
11,특성 처리 필요,반동기,무릎차기,136
11,특성 처리 필요,반동기,볼트태클,344
11,특성 처리 필요,반동기,플레어드라이브,394
11,특성 처리 필요,반동기,브레이브버드,413
11,특성 처리 필요,반동기,우드해머,452
11,특성 처리 필요,반동기,양날박치기,457
11,특성 처리 필요,반동기,와일드볼트,528
11,특성 처리 필요,반동기,아프로브레이크,543
11,특성 처리 필요,반동기,파멸의빛,617
11,특성 처리 필요,반동기,웨이브태클,834
12,특성 처리 필요,난동기,난동부리기,37
12,특성 처리 필요,난동기,꽃잎댄스,80
12,특성 처리 필요,난동기,역린,200
12,특성 처리 필요,난동기,대격분,833
3,공격기 스피드,자기스피드상승,Acupressure,367
3,공격기 스피드,자기스피드상승,Agility,97
3,공격기 스피드,자기스피드상승,Ancient Power,246
3,공격기 스피드,자기스피드상승,Aqua Step,872
3,공격기 스피드,자기스피드상승,Aura Wheel,783
3,공격기 스피드,자기스피드상승,Autotomize,475
3,공격기 스피드,자기스피드상승,Clangorous Soul,775
3,공격기 스피드,자기스피드상승,Clangorous Soulblaze,728
3,공격기 스피드,자기스피드상승,Dragon Dance,349
3,공격기 스피드,자기스피드상승,Esper Wing,840
3,공격기 스피드,자기스피드상승,Extreme Evoboost,702
3,공격기 스피드,자기스피드상승,Fillet Away,868
3,공격기 스피드,자기스피드상승,Flame Charge,488
3,공격기 스피드,자기스피드상승,Geomancy,601
3,공격기 스피드,자기스피드상승,Max Airstream,766
3,공격기 스피드,자기스피드상승,No Retreat,748
3,공격기 스피드,자기스피드상승,Ominous Wind,466
3,공격기 스피드,자기스피드상승,Quiver Dance,483
3,공격기 스피드,자기스피드상승,Rapid Spin,229
3,공격기 스피드,자기스피드상승,Rock Polish,397
3,공격기 스피드,자기스피드상승,Scale Shot,799
3,공격기 스피드,자기스피드상승,Shell Smash,504
3,공격기 스피드,자기스피드상승,Shift Gear,508
3,공격기 스피드,자기스피드상승,Silver Wind,318
3,공격기 스피드,자기스피드상승,Tidy Up,882
3,공격기 스피드,자기스피드상승,Trailblaze,885
3,공격기 스피드,자기스피드상승,Victory Dance,837
13,받는 피해 4배,자기방어하락,Armor Cannon,890
13,받는 피해 4배,자기방어하락,Clanging Scales,691
13,받는 피해 4배,자기방어하락,Close Combat,370
13,받는 피해 4배,자기방어하락,Dragon Ascent,620
13,받는 피해 4배,자기방어하락,Headlong Rush,838
13,받는 피해 4배,자기방어하락,Hyperspace Fury,621
13,받는 피해 4배,자기방어하락,Scale Shot,799
13,받는 피해 4배,자기방어하락,Shell Smash,504
13,받는 피해 4배,자기방어하락,Superpower,276
13,받는 피해 4배,자기방어하락,V-create,557
7,데미지 4배,자기공격특공상승,Ancient Power,246
7,데미지 4배,자기공격특공상승,Metal Claw,232
7,데미지 4배,자기공격특공상승,Meteor Mash,309
7,데미지 4배,자기공격특공상승,Ominous Wind,466
7,데미지 4배,자기공격특공상승,Power-Up Punch,612
7,데미지 4배,자기공격특공상승,Silver Wind,318
7,데미지 4배,자기공격특공상승,Charge Beam,451
7,데미지 4배,자기공격특공상승,Fiery Dance,552
7,데미지 4배,자기공격특공상승,Mystical Power,832
7,데미지 4배,자기공격특공상승,Torch Song,871
